# Spiral trajectory - 20 waypoints
# Format: x, y, z, time_to_reach_from_previous_waypoint
# First waypoint time: duration from takeoff (usually 5-10s)
# Subsequent times: duration to travel from previous waypoint to this one
x, y, z, time
0.0, 0.0, 0.0, 5.0
0.0, 0.0, 1.0, 10.0
0.5, 0.0, 1.2, 8.0
0.35, 0.35, 1.4, 8.0
0.0, 0.5, 1.6, 8.0
-0.35, 0.35, 1.8, 8.0
-0.5, 0.0, 2.0, 8.0
-0.35, -0.35, 2.2, 8.0
0.0, -0.5, 2.4, 8.0
0.35, -0.35, 2.6, 8.0
0.5, 0.0, 2.8, 8.0
0.35, 0.35, 3.0, 8.0
0.0, 0.5, 3.0, 8.0
-0.35, 0.35, 2.8, 8.0
-0.5, 0.0, 2.6, 8.0
-0.35, -0.35, 2.4, 8.0
0.0, -0.5, 2.2, 8.0
0.35, -0.35, 2.0, 8.0
0.0, 0.0, 1.5, 10.0
0.0, 0.0, 0.5, 10.0
